bci_index,word,english_glosses,pos,bliss_url,arasaac_url,mulberry_url,sclera_url,noun_project_url,tawasol_url,current_aac_url
8541,u_,u_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8541,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/u.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/U.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20u.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/You%20plural%20qatari%20(F).png,
8542,v_,v_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8542,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/v.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/V.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20v.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Assalamu%20Alaikom%20(F).png,
8543,w_,w_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8543,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/w.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/W.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20w.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/In_1.png,
8544,x_,x_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8544,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/x.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/X.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20x.png,,,null
8545,y_,y_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8545,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/Y.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/Y.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20y.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Chicken%20and%20rice.png,
8546,z_,z_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8546,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/z.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/Z.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20z.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Chicken%20and%20rice.png,
8551,a_,A_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8551,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/a.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/A.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20a.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Kick%20a%20ball%20(M).png,
8552,b_,B_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8552,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/b.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/B.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20b.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Mrs%20(1)_2.jpg,
8553,c_,C_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8553,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/c.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/C.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20c.png,,,
8554,d_,D_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8554,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/d.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/D.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20d.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Assalamu%20Alaikom%20(F).png,
